estacion,fecha,numero
Villaverde Alto,07/02/2024,11.784
Villaverde Alto,08/02/2024,11.352
Villaverde Alto,09/02/2024,11.967
Villaverde Alto,10/02/2024,7.958
Villaverde Alto,11/02/2024,6.154
Bilbao,05/02/2024,13.165
Bilbao,06/02/2024,14.244
Bilbao,07/02/2024,15.137
Bilbao,08/02/2024,15.484
Bilbao,09/02/2024,16.320
Bilbao,10/02/2024,13.514
Bilbao,11/02/2024,9.449
Pinar de Chamartín,05/02/2024,13.904
Pinar de Chamartín,06/02/2024,15.215
Pinar de Chamartín,07/02/2024,15.351
Pinar de Chamartín,08/02/2024,15.246
Pinar de Chamartín,09/02/2024,14.813
Pinar de Chamartín,10/02/2024,7.909
Pinar de Chamartín,11/02/2024,4.562
Goya,05/02/2024,19.711
Goya,06/02/2024,20.945
Goya,07/02/2024,21.820
Goya,08/02/2024,22.621
Goya,09/02/2024,23.381
Goya,10/02/2024,20.322
Goya,11/02/2024,12.241
Colón,05/02/2024,3.905
Colón,06/02/2024,4.121
Colón,07/02/2024,4.402
Colón,08/02/2024,4.589
Colón,09/02/2024,4.268
Colón,10/02/2024,2.564
Colón,11/02/2024,1.789
Serrano,05/02/2024,7.988
Serrano,06/02/2024,8.474
Serrano,07/02/2024,8.722
Serrano,08/02/2024,9.175
Serrano,09/02/2024,8.911
Serrano,10/02/2024,6.300
Serrano,11/02/2024,3.516
Velázquez,05/02/2024,7.017
Velázquez,06/02/2024,7.390
Velázquez,07/02/2024,7.389
Velázquez,08/02/2024,7.785
Velázquez,09/02/2024,7.491
Velázquez,10/02/2024,4.523
Velázquez,11/02/2024,2.765
Lista,05/02/2024,5.790
Lista,06/02/2024,6.067
Lista,07/02/2024,6.203
Lista,08/02/2024,6.228
Lista,09/02/2024,5.906
Lista,10/02/2024,3.354
Lista,11/02/2024,1.990
Diego de León,05/02/2024,20.807
Diego de León,06/02/2024,21.715
Diego de León,07/02/2024,22.023
Diego de León,08/02/2024,22.409
Diego de León,09/02/2024,21.580
Diego de León,10/02/2024,12.438
Diego de León,11/02/2024,8.593
Prosperidad,05/02/2024,6.713
Prosperidad,06/02/2024,7.191
Prosperidad,07/02/2024,7.201
Prosperidad,08/02/2024,7.517
Prosperidad,09/02/2024,8.117
Prosperidad,10/02/2024,5.911
Prosperidad,11/02/2024,4.056
Alfonso XIII,05/02/2024,9.566
Alfonso XIII,06/02/2024,10.347
Alfonso XIII,07/02/2024,10.259
Alfonso XIII,08/02/2024,9.994
