Código_es,hog_pond,pob_pond,edad_pond,pe_hog_pon,renper_pon,renhog_pon,dens_pond,por15_pon,por65_pon,por1664pon,poresp_pon,porext_pon,poractivid,poract_pon,%1mujsol_p,%1hactsolp,%1mujmay_p,%1hommay_p,%1mujmad_p,%1hompad_p,%2adusol_p,%2adusma_p,%2adumen_p,%2adu2mn_p,%2adu3mn_p,%2adu1jv_p,%2a1jv1m_p,%2a1jv2m_p,%3adul_pon,%2ad2jv_p,%2a2j1m_p,%2a2j2m_p,%4adulto_p,%5adulto_p,%15perso_p,%menas_p
"521","628","1445",38.888,2.373,17099.170,40970.034,350.832,0.172,0.117,0.700,0.754,0.231,10.118,0.523,0.093,0.092,0.105,0.031,0.013,0.001,0.133,0.142,0.047,0.035,0.006,0.057,0.015,0.003,0.080,0.040,0.001,0.001,0.033,0.040,0.000,0.000
"520","673","1603",35.745,2.448,24851.308,60643.145,236.806,0.257,0.070,0.671,0.903,0.096,9.544,0.499,0.085,0.079,0.100,0.035,0.013,0.000,0.117,0.160,0.053,0.047,0.006,0.066,0.013,0.002,0.082,0.063,0.002,0.000,0.032,0.027,0.000,0.000
"302","715","1532",34.786,2.177,19693.395,43822.357,222.385,0.257,0.067,0.657,0.901,0.080,14.442,0.483,0.130,0.133,0.100,0.030,0.012,0.001,0.162,0.109,0.044,0.039,0.002,0.040,0.006,0.000,0.061,0.028,0.002,0.000,0.027,0.030,0.000,0.000
"301","674","1553",34.834,2.350,19061.059,46358.778,204.500,0.244,0.067,0.662,0.877,0.097,9.654,0.492,0.125,0.116,0.068,0.025,0.016,0.002,0.169,0.088,0.056,0.054,0.004,0.055,0.015,0.002,0.060,0.042,0.001,0.000,0.024,0.034,0.000,0.000
"608","721","1752",34.538,2.458,24047.566,60393.501,220.797,0.256,0.066,0.652,0.891,0.083,5.976,0.484,0.101,0.110,0.057,0.021,0.024,0.005,0.154,0.078,0.073,0.092,0.014,0.053,0.026,0.004,0.056,0.058,0.002,0.000,0.019,0.021,0.000,0.001
"118","669","1528",39.351,2.353,22157.638,52342.066,182.723,0.220,0.142,0.634,0.927,0.065,11.802,0.470,0.106,0.095,0.101,0.030,0.016,0.002,0.149,0.132,0.056,0.048,0.007,0.059,0.013,0.002,0.070,0.046,0.002,0.000,0.026,0.025,0.000,0.000
"609","798","1939",35.687,2.550,22053.754,56110.778,221.865,0.251,0.076,0.661,0.898,0.090,3.984,0.493,0.104,0.108,0.042,0.011,0.031,0.009,0.178,0.077,0.096,0.078,0.020,0.044,0.022,0.011,0.051,0.051,0.004,0.001,0.019,0.025,0.000,0.001
"117","612","1398",38.376,2.288,21810.493,51191.552,182.061,0.218,0.135,0.623,0.913,0.061,11.802,0.464,0.106,0.094,0.104,0.035,0.011,0.002,0.146,0.131,0.049,0.042,0.006,0.053,0.009,0.003,0.070,0.042,0.002,0.000,0.029,0.032,0.000,0.000
"351","722","1829",37.735,2.672,14852.962,39145.909,89.532,0.167,0.080,0.745,0.773,0.222,9.362,0.556,0.087,0.102,0.080,0.022,0.023,0.004,0.134,0.094,0.067,0.061,0.009,0.053,0.022,0.004,0.066,0.043,0.007,0.002,0.039,0.062,0.000,0.000
"611","632","1538",38.659,2.410,24117.005,61292.530,172.351,0.203,0.146,0.607,0.892,0.066,9.030,0.453,0.078,0.071,0.111,0.028,0.016,0.003,0.100,0.163,0.046,0.043,0.012,0.055,0.010,0.002,0.085,0.041,0.004,0.000,0.040,0.036,0.000,0.000
"119","665","1538",39.338,2.396,15791.911,37893.784,220.816,0.174,0.134,0.676,0.799,0.182,11.334,0.504,0.118,0.128,0.075,0.025,0.018,0.001,0.163,0.090,0.051,0.037,0.005,0.049,0.017,0.004,0.069,0.027,0.005,0.000,0.038,0.051,0.000,0.000
