route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
8__450___,CRTM,450,GETAFE-LEGANÉS-ALCORCÓN,,3,https://www.crtm.es/8__450___.aspx,8EBF42,FFFFFF
8__455___,CRTM,455,PINTO - GETAFE,,3,https://www.crtm.es/8__455___.aspx,8EBF42,FFFFFF
8__460___,CRTM,460,MADRID (Plaza Elíptica)-PARLA-BATRES,,3,https://www.crtm.es/8__460___.aspx,8EBF42,FFFFFF
8__461___,CRTM,461,MADRID (Plaza Elíptica)-PARLA,,3,https://www.crtm.es/8__461___.aspx,8EBF42,FFFFFF
8__462___,CRTM,462,PARLA-GETAFE,,3,https://www.crtm.es/8__462___.aspx,8EBF42,FFFFFF
8__463___,CRTM,463,MADRID (Plaza Elíptica)-PARLA-TORREJÓN DE VELASCO,,3,https://www.crtm.es/8__463___.aspx,8EBF42,FFFFFF
8__464___,CRTM,464,MADRID (Plaza Elíptica)-PARLA-YUNCLILLOS,,3,https://www.crtm.es/8__464___.aspx,8EBF42,FFFFFF
8__466___,CRTM,466,PARLA-VALDEMORO,,3,https://www.crtm.es/8__466___.aspx,8EBF42,FFFFFF
8__468___,CRTM,468,GETAFE-GRIÑÓN/CASARRUBUELOS/SERRANILLOS,,3,https://www.crtm.es/8__468___.aspx,8EBF42,FFFFFF
8__469___,CRTM,469,MADRID (Plaza Elíptica)-PARLA (Parla Este),,3,https://www.crtm.es/8__469___.aspx,8EBF42,FFFFFF
8__471___,CRTM,471,HUMANES-FUENLABRADA-PARLA-PINTO,,3,https://www.crtm.es/8__471___.aspx,8EBF42,FFFFFF
8__480___,CRTM,480,MADRID (Plaza Elíptica)-LEGANÉS (Estación FFCC),,3,https://www.crtm.es/8__480___.aspx,8EBF42,FFFFFF
8__481___,CRTM,481,MADRID (Oporto)-LEGANÉS (Parquesur-Hospital),,3,https://www.crtm.es/8__481___.aspx,8EBF42,FFFFFF
8__482___,CRTM,482,MADRID (Aluche) - LEGANÉS (Arroyo Culebro),,3,https://www.crtm.es/8__482___.aspx,8EBF42,FFFFFF
8__483___,CRTM,483,MADRID (Aluche)-LEGANÉS (Vereda de los Estudiantes),,3,https://www.crtm.es/8__483___.aspx,8EBF42,FFFFFF
8__484___,CRTM,484,MADRID (Oporto)-LEGANÉS (Estación FFCC),,3,https://www.crtm.es/8__484___.aspx,8EBF42,FFFFFF
8__485___,CRTM,485,MADRID (Aluche)-LEGANÉS (Norte-Montepinos),,3,https://www.crtm.es/8__485___.aspx,8EBF42,FFFFFF
8__486___,CRTM,486,MADRID (Oporto)-LEGANÉS (Valdepelayo),,3,https://www.crtm.es/8__486___.aspx,8EBF42,FFFFFF
