cod_est;nom_est;edad_media;hog_tot;pob_tot;pers_hog;renta_pers;renta_hog;%pob_ext;%pob_15;%pob_1664;%pob_65;densidad;%hog_1;%hog_2;%hog_3;%hog_4;%hog_5;%hog_6;%hog_7;%hog_8;%hog_9;%hog_10;%hog_11;%hog_12;%hog_13;%hog_14;%hog_15;%hog_16;%hog_17;%hog_18;%hog_19;%hog_20;%hog_21;%hog_22;Eventodromo;conducta;por_pobact;dem_mens_promedio_24_miles;nu_lineas;nu_lin_cerc;nu_businter;in_bus_lr;in_renfe_lr;in_oficinattp;in_eventos;in_parkdisgra;in_parkdispag
202;Manuel Becerra;45,90;14450;30839;2,1;23898,89;53942,78;0,1731;0,0982;0,6232;0,2230;404,83;0,1332;0,1019;0,1111;0,0356;0,0128;0,0029;0,1290;0,1199;0,0375;0,0318;0,0089;0,0384;0,0095;0,0043;0,0726;0,0275;0,0030;0,0011;0,0297;0,0329;0,0004;0,0002;LVES/PADE;labest;0,4186;342,86;2;0;0;0;0;0;1;0;0
203;Goya;46,22;14047;29647;2,1;27494,89;62669,14;0,1881;0,0983;0,6283;0,2363;388,41;0,1396;0,1074;0,1083;0,0391;0,0134;0,0028;0,1246;0,1308;0,0336;0,0282;0,0090;0,0389;0,0094;0,0041;0,0734;0,0269;0,0043;0,0014;0,0319;0,0349;0,0002;0,0006;PADE;evento;0,4172;598,56;2;0;0;0;0;0;1;0;0
204;Príncipe de Vergara;46,56;9915;21290;2,1;30392,21;72038,71;0,1914;0,1037;0,6295;0,2437;277,00;0,1296;0,1090;0,1081;0,0393;0,0132;0,0036;0,1234;0,1321;0,0363;0,0278;0,0108;0,0390;0,0086;0,0044;0,0825;0,0272;0,0051;0,0014;0,0343;0,0400;0,0004;0,0010;PADE;finest;0,4119;216,93;2;0;0;0;0;0;1;0;0
205;Retiro;47,05;3260;7252;2,2;33930,63;92500,21;0,1975;0,1062;0,6434;0,2509;94,51;0,1111;0,1149;0,1086;0,0450;0,0128;0,0044;0,1184;0,1391;0,0325;0,0321;0,0115;0,0433;0,0086;0,0046;0,0919;0,0316;0,0052;0,0012;0,0356;0,0463;0,0007;0,0012;;finvol;0,4136;259,50;1;0;0;0;0;0;0;0;0
206;Banco de España;44,58;4773;9359;2,0;29140,18;64459,56;0,2538;0,0794;0,7225;0,1760;122,59;0,1629;0,1904;0,0683;0,0422;0,0115;0,0045;0,1543;0,0949;0,0286;0,0216;0,0067;0,0330;0,0076;0,0035;0,0556;0,0259;0,0018;0,0000;0,0236;0,0385;0,0012;0,0013;;finest;0,4763;284,27;1;0;0;0;0;0;0;0;0
207;Sevilla;43,53;7445;13666;1,8;21882,36;43981,02;0,3361;0,0592;0,7644;0,1550;181,02;0,1861;0,2265;0,0597;0,0364;0,0074;0,0030;0,1812;0,0719;0,0264;0,0109;0,0025;0,0249;0,0058;0,0020;0,0519;0,0161;0,0013;0,0004;0,0287;0,0337;0,0012;0,0005;;finest;0,5008;136,55;1;0;0;0;0;0;0;0;0
209;Ópera;44,94;7485;14172;1,9;22430,73;45785,15;0,2892;0,0675;0,7369;0,1926;186,72;0,1620;0,1981;0,0814;0,0445;0,0085;0,0038;0,1751;0,0895;0,0269;0,0158;0,0030;0,0305;0,0072;0,0020;0,0646;0,0140;0,0016;0,0010;0,0298;0,0360;0,0006;0,0010;;finvol;0,4752;519,26;3;0;0;0;0;0;0;0;0
210;Santo Domingo;43,74;10651;19828;1,9;20953,69;42076,83;0,2989;0,0624;0,7462;0,1658;261,77;0,1714;0,2084;0,0726;0,0392;0,0079;0,0031;0,1827;0,0746;0,0230;0,0138;0,0024;0,0284;0,0060;0,0022;0,0569;0,0144;0,0015;0,0008;0,0283;0,0353;0,0008;0,0006;;finest;0,4935;161,45;1;0;0;0;0;0;0;0;0
211;Noviciado;43,56;15413;27850;1,8;20906,60;40615,93;0,2846;0,0664;0,7630;0,1572;369,18;0,1902;0,2154;0,0713;0,0347;0,0095;0,0028;0,1911;0,0686;0,0264;0,0157;0,0020;0,0273;0,0050;0,0020;0,0537;0,0132;0,0021;0,0005;0,0246;0,0294;0,0007;0,0004;;finest;0,4934;167,18;2;0;0;0;0;0;0;0;0
212;San Bernardo;44,99;15481;29336;1,9;24808,88;50055,38;0,2018;0,0789;0,6777;0,1977;388,03;0,1626;0,1657;0,0935;0,0316;0,0120;0,0026;0,1553;0,0963;0,0326;0,0230;0,0052;0,0297;0,0065;0,0025;0,0594;0,0219;0,0036;0,0006;0,0226;0,0259;0,0007;0,0003;;labest;0,4538;222,98;2;0;0;0;0;0;0;0;0
213;Quevedo;45,40;16783;33214;2,0;24392,96;51249,42;0,1702;0,0937;0,6663;0,2206;436,27;0,1581;0,1394;0,1093;0,0330;0,0142;0,0031;0,1456;0,1132;0,0365;0,0297;0,0070;0,0345;0,0082;0,0034;0,0633;0,0249;0,0034;0,0004;0,0261;0,0266;0,0004;0,0005;;labest;0,4321;236,77;1;0;0;0;0;0;0;0;0
214;Canal;45,49;13071;26350;2,0;23846,58;50980,06;0,1429;0,0953;0,6491;0,2171;344,27;0,1503;0,1300;0,1135;0,0322;0,0122;0,0035;0,1365;0,1128;0,0353;0,0316;0,0074;0,0368;0,0088;0,0030;0,0651;0,0247;0,0040;0,0006;0,0263;0,0260;0,0002;0,0006;;labest;0,4286;240,70;2;0;0;0;0;0;0;0;0
251;La Elipa;45,31;10352;24405;2,4;13794,23;33718,46;0,1932;0,0991;0,6422;0,2063;323,40;0,0798;0,0905;0,1034;0,0324;0,0129;0,0034;0,1244;0,1411;0,0412;0,0273;0,0035;0,0551;0,0208;0,0054;0,0760;0,0341;0,0058;0,0019;0,0387;0,0494;0,0005;0,0003;;finest;0,4365;260,42;1;0;0;0;0;0;0;0;0
