fid,COD_SEC,Densidad,Edad_Prome,area_m2,renta_med_persona,renta_med_hog,pob_sec_tot,per_hog_med,Código_es,nombre_est,area_trocito,por_troc_sec,por_tro_buf,hog_sec,por_hog_1,por_hog_2,por_hog_3,por_hog_4,por_hog_5,pog_hog_6,por_hog_7,por_hog_8,por_hog_9,por_hog_10,por_hog_11,por_hog_12,por_hog_13,por_hog_14,por_hog_15,por_hog_16,por_hog_17,por_hog_18,por_hog_19,por_hog_20,por_hog_21,por_hog_22,hog_troc,pob_troc,por_pob15,por_pob65,por_pob16_64,por_pob_ext
"2763","10153",249.22253477,43.74385772,109496.225,"18199","42716","2589",2.340867993,"529",Campamento,42998.9448184371,0.392697965783177,0.0547479571615461,"1156",0.118512110726644,0.109861591695502,0.0882352941176471,0.0328719723183391,0.0173010380622837,0.00259515570934256,0.149653979238754,0.107266435986159,0.0570934256055363,0.041522491349481,0.0069204152249135,0.0674740484429066,0.0198961937716263,0.00173010380622837,0.064878892733564,0.0423875432525952,0.00778546712802768,0.00173010380622837,0.023356401384083,0.0389273356401384,0,0,"454","1017",0.1169783645,0.168683535,0.7143381005,0.1738173817
"2764","10153",249.22253477,43.74385772,109496.225,"18199","42716","2589",2.340867993,"1016",Colonia Jardín,108667.786506653,0.992434090825075,0.138360123617622,"1156",0.118512110726644,0.109861591695502,0.0882352941176471,0.0328719723183391,0.0173010380622837,0.00259515570934256,0.149653979238754,0.107266435986159,0.0570934256055363,0.041522491349481,0.0069204152249135,0.0674740484429066,0.0198961937716263,0.00173010380622837,0.064878892733564,0.0423875432525952,0.00778546712802768,0.00173010380622837,0.023356401384083,0.0389273356401384,0,0,"1147","2569",0.1169783645,0.168683535,0.7143381005,0.1738173817
"2766","10156",136.17956092,57.42014742,59815.22,"19837","49296","832",2.491017964,"1019",Cuatro Vientos,59815.2201828659,1.00000000305718,0.0761591040433121,"330",0.0151515151515152,0.0151515151515152,0.16969696969697,0.0393939393939394,0.0121212121212121,0.00303030303030303,0.0272727272727273,0.357575757575758,0.0212121212121212,0.0272727272727273,0.0272727272727273,0.0272727272727273,0.00909090909090909,0,0.142424242424242,0.0212121212121212,0.00606060606060606,0,0.0363636363636364,0.0424242424242424,0,0,"330","832",0.1068796069,0.4742014742,0.4189189189,0.0724815725
"2767","10157",101.74781774,53.23854447,72975.651,"20399","51172","734",2.505119454,"1019",Cuatro Vientos,66289.3342240965,0.908376058530763,0.0844022020933898,"296",0.027027027027027,0.0304054054054054,0.141891891891892,0.0641891891891892,0.0135135135135135,0,0.0439189189189189,0.324324324324324,0.027027027027027,0.0540540540540541,0.0304054054054054,0.0371621621621622,0.0101351351351351,0.00337837837837838,0.0777027027027027,0.0101351351351351,0.00337837837837838,0.00675675675675676,0.0472972972972973,0.0472972972972973,0,0,"269","667",0.1428571429,0.3921832884,0.4649595687,0.0242587601
"2768","10158",1.37472721,50.07418788,8290955.407,"19813","52400","1145",2.681498829,"1016",Colonia Jardín,43683.8466121256,0.00526885557426152,0.0556200012133026,"434",0.0391705069124424,0.0460829493087558,0.0691244239631336,0.0299539170506912,0.00921658986175115,0.00691244239631336,0.0921658986175115,0.244239631336406,0.0368663594470046,0.0599078341013825,0.0184331797235023,0.0875576036866359,0.0115207373271889,0.00230414746543779,0.145161290322581,0.0207373271889401,0.00691244239631336,0,0.0529953917050691,0.0184331797235023,0.00230414746543779,0,"2","6",0.1185250219,0.342405619,0.5390693591,0.0307287094
"2769","10158",1.37472721,50.07418788,8290955.407,"19813","52400","1145",2.681498829,"1018",Aviación Española,341578.378478972,0.0411989163746532,0.434911100987264,"434",0.0391705069124424,0.0460829493087558,0.0691244239631336,0.0299539170506912,0.00921658986175115,0.00691244239631336,0.0921658986175115,0.244239631336406,0.0368663594470046,0.0599078341013825,0.0184331797235023,0.0875576036866359,0.0115207373271889,0.00230414746543779,0.145161290322581,0.0207373271889401,0.00691244239631336,0,0.0529953917050691,0.0184331797235023,0.00230414746543779,0,"18","47",0.1185250219,0.342405619,0.5390693591,0.0307287094
"2770","10158",1.37472721,50.07418788,8290955.407,"19813","52400","1145",2.681498829,"1019",Cuatro Vientos,103319.320908084,0.0124616905816249,0.131550245684411,"434",0.0391705069124424,0.0460829493087558,0.0691244239631336,0.0299539170506912,0.00921658986175115,0.00691244239631336,0.0921658986175115,0.244239631336406,0.0368663594470046,0.0599078341013825,0.0184331797235023,0.0875576036866359,0.0115207373271889,0.00230414746543779,0.145161290322581,0.0207373271889401,0.00691244239631336,0,0.0529953917050691,0.0184331797235023,0.00230414746543779,0,"5","14",0.1185250219,0.342405619,0.5390693591,0.0307287094
"2771","10159",110.65878931,50.85022222,101733.808,"19643","52318","1121",2.656398104,"1019",Cuatro Vientos,93233.4911222919,0.91644550572895,0.118708568304122,"425",0.0235294117647059,0.0423529411764706,0.0564705882352941,0.0282352941176471,0.00941176470588235,0.00470588235294118,0.0823529411764706,0.294117647058824,0.0352941176470588,0.0423529411764706,0.00705882352941176,0.0705882352941176,0.0141176470588235,0.00470588235294118,0.143529411764706,0.0376470588235294,0.00470588235294118,0,0.0729411764705882,0.0258823529411765,0,0,"389","1027",0.0977777778,0.3413333333,0.5608888889,0.0266666667
"2772","10161",115.42476764,48.11561206,146603.645,"14042","32121","1639",2.301966292,"1018",Aviación Española,146603.645409584,1.00000000279382,0.186661559545268,"731",0.109439124487004,0.0930232558139535,0.12311901504788,0.0369357045143639,0.0191518467852257,0,0.110807113543092,0.153214774281806,0.0478796169630643,0.0259917920656635,0.0027359781121751,0.06703146374829,0.0177838577291382,0.00683994528043776,0.0738714090287278,0.0451436388508892,0.00136798905608755,0.00410396716826265,0.0191518467852257,0.0424076607387141,0,0,"731","1639",0.0987581313,0.2525133057,0.648728563,0.14843288
"2773","10162",538.7605917,48.76594595,17180.922,"12656","28228","909",2.217073171,"1018",Aviación Española,17180.9216498733,0.99999997962119,0.0218754289542431,"429",0.0862470862470862,0.121212121212121,0.142191142191142,0.0256410256410256,0.0256410256410256,0.00233100233100233,0.144522144522145,0.174825174825175,0.0396270396270396,0.020979020979021,0.00466200466200466,0.0466200466200466,0.0186480186480186,0.00466200466200466,0.0512820512820513,0.0303030303030303,0.00233100233100233,0,0.0303030303030303,0.0256410256410256,0,0.00233100233100233,"429","909",0.1059459459,0.2605405405,0.6335135136,0.1859459459
